adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
1 A route des Lilas 67000 Toulouse France,1,A,route,des Lilas,67000,Toulouse,France,,"Parsing: 1 A route des Lilas 67000 Toulouse France
Champs: {""Building_Number"": 1, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""route""}"
92100 152 boulevard france des lilas marseille mme martin bis,152,bis,boulevard,des Lilas,92100,Marseille,France,Mme Martin,"Parsing: 92100 152 boulevard france des lilas marseille mme martin bis
Champs: {""Building_Number"": 152, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
du général leclerc a nantes route m. durant 31000 51 france,51,A,route,du Général Leclerc,31000,Nantes,France,M. Durant,"Parsing: du général leclerc a nantes route m. durant 31000 51 france
Champs: {""Building_Number"": 51, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""route""}"
société leroy 161 route jean jaurès 6000 nantes france,161,,route,Jean Jaurès,6000,Nantes,France,Société Leroy,"Parsing: société leroy 161 route jean jaurès 6000 nantes france
Champs: {""Building_Number"": 161, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""route""}"
150 A route du Général Leclerc 31000 Nice France,150,A,route,du Général Leclerc,31000,Nice,France,,"Parsing: 150 A route du Général Leclerc 31000 Nice France
Champs: {""Building_Number"": 150, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""route""}"
société leroy 191 a boulevard des lilas 67000 toulouse france,191,A,boulevard,des Lilas,67000,Toulouse,France,Société Leroy,"Parsing: société leroy 191 a boulevard des lilas 67000 toulouse france
Champs: {""Building_Number"": 191, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""boulevard""}"
Jean Jaurès 69003 M. Durant 39 Nice boulevard France,39,,boulevard,Jean Jaurès,69003,Nice,France,M. Durant,"Parsing: Jean Jaurès 69003 M. Durant 39 Nice boulevard France
Champs: {""Building_Number"": 39, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""boulevard""}"
france victor hugo 145 boulogne-billancourt chemin a 33000 mme martin,145,A,chemin,Victor Hugo,33000,Boulogne-Billancourt,France,Mme Martin,"Parsing: france victor hugo 145 boulogne-billancourt chemin a 33000 mme martin
Champs: {""Building_Number"": 145, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
mme martin 63 bis rue de la république 6000 nice france,63,bis,rue,de la République,6000,Nice,France,Mme Martin,"Parsing: mme martin 63 bis rue de la république 6000 nice france
Champs: {""Building_Number"": 63, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
mme martin 123 ter chemin des lilas 6000 paris france,123,ter,chemin,des Lilas,6000,Paris,France,Mme Martin,"Parsing: mme martin 123 ter chemin des lilas 6000 paris france
Champs: {""Building_Number"": 123, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 6000, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
192 rue des Lilas 33000 Lyon France,192,,rue,des Lilas,33000,Lyon,France,,"Parsing: 192 rue des Lilas 33000 Lyon France
Champs: {""Building_Number"": 192, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": null, ""type_voie"": ""rue""}"
de Verdun Strasbourg route bis 164 Mme Martin 92100 France,164,bis,route,de Verdun,92100,Strasbourg,France,Mme Martin,"Parsing: de Verdun Strasbourg route bis 164 Mme Martin 92100 France
Champs: {""Building_Number"": 164, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""route""}"
dupont 125 chemin de la république 92100 lyon france,125,,chemin,de la République,92100,Lyon,France,Dupont,"Parsing: dupont 125 chemin de la république 92100 lyon france
Champs: {""Building_Number"": 125, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 92100, ""repetition"": null, ""type_voie"": ""chemin""}"
mme martin 35 ter boulevard de verdun 92100 marseille france,35,ter,boulevard,de Verdun,92100,Marseille,France,Mme Martin,"Parsing: mme martin 35 ter boulevard de verdun 92100 marseille france
Champs: {""Building_Number"": 35, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""ter"", ""type_voie"": ""boulevard""}"
bordeaux de la république dupont a impasse france 67000 191,191,A,impasse,de la République,67000,Bordeaux,France,Dupont,"Parsing: bordeaux de la république dupont a impasse france 67000 191
Champs: {""Building_Number"": 191, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
de la république 110 a 75001 impasse nantes france,110,A,impasse,de la République,75001,Nantes,France,,"Parsing: de la république 110 a 75001 impasse nantes france
Champs: {""Building_Number"": 110, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
lyon de la république dupont 75001 12 route france,12,,route,de la République,75001,Lyon,France,Dupont,"Parsing: lyon de la république dupont 75001 12 route france
Champs: {""Building_Number"": 12, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""route""}"
Mme Martin Toulouse des Lilas 107 B avenue France 75001,107,B,avenue,des Lilas,75001,Toulouse,France,Mme Martin,"Parsing: Mme Martin Toulouse des Lilas 107 B avenue France 75001
Champs: {""Building_Number"": 107, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
M. Durant 157 ter avenue Jean Jaurès 13008 Paris France,157,ter,avenue,Jean Jaurès,13008,Paris,France,M. Durant,"Parsing: M. Durant 157 ter avenue Jean Jaurès 13008 Paris France
Champs: {""Building_Number"": 157, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
société leroy 175 bis rue victor hugo 44000 toulouse france,175,bis,rue,Victor Hugo,44000,Toulouse,France,Société Leroy,"Parsing: société leroy 175 bis rue victor hugo 44000 toulouse france
Champs: {""Building_Number"": 175, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
