Address,Building_Number,City,Recipient,Street_Name_old,Street_Name,type_voie,Zip_Code,Country,repetition
"Supermarché Carrefour, 147 Rue de Rivoli, 75001 Paris, France",147,Paris,Supermarché Carrefour,Rue de Rivoli,de Rivoli,Rue,75001,France,
"Tech Innov, 4 Rue du Faubourg Saint-Antoine, 44000 Nantes, France",4,Nantes,Tech Innov,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,44000,France,
"Boulangerie Paul, 174 Rue du Faubourg Saint-Antoine, 69002 Lyon, France",174,Lyon,Boulangerie Paul,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,69002,France,
"55 Avenue Victor Hugo, 67000 Strasbourg, France",55,Strasbourg,,Avenue Victor Hugo,Victor Hugo,Avenue,67000,France,
"Pierre Lefevre, 132 Boulevard Saint-Michel, 13006 Marseille, France",132,Marseille,Pierre Lefevre,Boulevard Saint-Michel,Saint-Michel,Boulevard,13006,France,
"Jean Dupont, 105 Rue de Rivoli, 33000 Bordeaux, France",105,Bordeaux,Jean Dupont,Rue de Rivoli,de Rivoli,Rue,33000,France,
"208 Avenue des Champs-Élysées, 31000 Toulouse, France",208,Toulouse,,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,31000,France,
"Tech Innov, 193 Avenue Victor Hugo, 75001 Paris, France",193,Paris,Tech Innov,Avenue Victor Hugo,Victor Hugo,Avenue,75001,France,
"Nathalie Dubois, 42 Rue de Rivoli, 69002 Lyon, France",42,Lyon,Nathalie Dubois,Rue de Rivoli,de Rivoli,Rue,69002,France,
"3 Boulevard Haussmann, 13006 Marseille, France",3,Marseille,,Boulevard Haussmann,Haussmann,Boulevard,13006,France,
"Jean Dupont, 53 Avenue Victor Hugo, 67000 Strasbourg, France",53,Strasbourg,Jean Dupont,Avenue Victor Hugo,Victor Hugo,Avenue,67000,France,
"Pharmacie Centrale, 203 Rue Saint-Honoré, 35000 Rennes, France",203,Rennes,Pharmacie Centrale,Rue Saint-Honoré,Saint-Honoré,Rue,35000,France,
"Laurent Bernard, 163 Avenue Victor Hugo, 35000 Rennes, France",163,Rennes,Laurent Bernard,Avenue Victor Hugo,Victor Hugo,Avenue,35000,France,
"Tech Innov, 21 Rue de Rivoli, 69002 Lyon, France",21,Lyon,Tech Innov,Rue de Rivoli,de Rivoli,Rue,69002,France,
"Pharmacie Centrale, 123 Boulevard Saint-Michel, 69002 Lyon, France",123,Lyon,Pharmacie Centrale,Boulevard Saint-Michel,Saint-Michel,Boulevard,69002,France,
"Jean Dupont, 126 Rue Saint-Honoré, 35000 Rennes, France",126,Rennes,Jean Dupont,Rue Saint-Honoré,Saint-Honoré,Rue,35000,France,
"Boulangerie Paul, 189 Rue du Faubourg Saint-Antoine, 13006 Marseille, France",189,Marseille,Boulangerie Paul,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,13006,France,
"Sophie Martin, 151 Rue de Rivoli, 59000 Lille, France",151,Lille,Sophie Martin,Rue de Rivoli,de Rivoli,Rue,59000,France,
"27 Avenue des Champs-Élysées, 33000 Bordeaux, France",27,Bordeaux,,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,33000,France,
"Laurent Bernard, 165 Rue du Faubourg Saint-Antoine, 31000 Toulouse, France",165,Toulouse,Laurent Bernard,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,31000,France,
"Pharmacie Centrale, 227 Boulevard Saint-Michel, 06000 Nice, France",227,Nice,Pharmacie Centrale,Boulevard Saint-Michel,Saint-Michel,Boulevard,06000,France,
"Laurent Bernard, 165 Rue de la Paix, 31000 Toulouse, France",165,Toulouse,Laurent Bernard,Rue de la Paix,de la Paix,Rue,31000,France,
"Laurent Bernard, 132 Avenue des Champs-Élysées, 06000 Nice, France",132,Nice,Laurent Bernard,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,06000,France,
"Jean Dupont, 82 Place de la République, 67000 Strasbourg, France",82,Strasbourg,Jean Dupont,Place de la République,de la République,Place,67000,France,
"89 Rue de la Paix, 59000 Lille, France",89,Lille,,Rue de la Paix,de la Paix,Rue,59000,France,
"Jean Dupont, 215 Avenue des Champs-Élysées, 31000 Toulouse, France",215,Toulouse,Jean Dupont,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,31000,France,
"137 Avenue Montaigne, 31000 Toulouse, France",137,Toulouse,,Avenue Montaigne,Montaigne,Avenue,31000,France,
